output_file,input,method,metric,anchor,pre_crop,border,g_dy,g_dx,r_dy,r_dx
church_color.jpg,data/church.tif,pyramid,edges5,b,0.08,0.1,25,4,58,-4
emir_color.jpg,data/emir.tif,pyramid,edges5,b,0.08,0.1,49,23,107,40
harvesters_color.jpg,data/harvesters.tif,pyramid,edges5,b,0.08,0.1,60,17,123,14
icon_color.jpg,data/icon.tif,pyramid,edges5,b,0.08,0.1,42,17,90,23
italil_color.jpg,data/italil.tif,pyramid,edges5,b,0.08,0.1,38,22,77,36
lastochikino_color.jpg,data/lastochikino.tif,pyramid,edges5,b,0.08,0.1,-3,-2,76,-8
lugano_color.jpg,data/lugano.tif,pyramid,edges5,b,0.08,0.1,41,-17,93,-29
melons_color.jpg,data/melons.tif,pyramid,edges5,b,0.08,0.1,81,10,178,13
self_portrait_color.jpg,data/self_portrait.tif,pyramid,edges5,b,0.08,0.1,79,30,176,37
siren_color.jpg,data/siren.tif,pyramid,edges5,b,0.08,0.1,49,-6,96,-25
three_generations_color.jpg,data/three_generations.tif,pyramid,edges5,b,0.08,0.1,53,13,111,10
cathedral_color.jpg,data/cathedral.jpg,single,ncc,b,0.08,0.1,5,2,12,3
extra_example_1_color.jpg,data/extra_example_1.jpg,single,ncc,b,0.08,0.1,-3,1,-4,1
extra_example_2_color.jpg,data/extra_example_2.jpg,single,ncc,b,0.08,0.1,5,-1,10,-3
extra_example_3_color.jpg,data/extra_example_3.jpg,single,ncc,b,0.08,0.1,2,3,11,6
monastery_color.jpg,data/monastery.jpg,single,ncc,b,0.08,0.1,-3,2,3,2
tobolsk_color.jpg,data/tobolsk.jpg,single,ncc,b,0.08,0.1,3,3,6,3
